audit,strategy,model,metric,value,ci_low,ci_high,n
tenant_screening,baseline,logistic_regression,accuracy,0.6856976969227792,0.6743710083220438,0.6999274240371589,5167
tenant_screening,baseline,logistic_regression,auc,0.7345509053526865,,,5167
tenant_screening,baseline,logistic_regression,f1,0.7432816945937402,0.7332128309558327,0.7556733197311248,5167
tenant_screening,baseline,random_forest,accuracy,0.6855041610218695,0.6724162957228565,0.697798529127153,5167
tenant_screening,baseline,random_forest,auc,0.7402088800893,,,5167
tenant_screening,baseline,random_forest,f1,0.7401247401247403,0.726962207699391,0.752730905691567,5167
tenant_screening,baseline,gradient_boosting,accuracy,0.7015676407973679,0.6895490613508807,0.7147474356493129,5167
tenant_screening,baseline,gradient_boosting,auc,0.7589825528131352,,,5167
tenant_screening,baseline,gradient_boosting,f1,0.7563981042654029,0.745001365683956,0.7684637841249802,5167
tenant_screening,unawareness,logistic_regression,accuracy,0.6895684149409715,0.678149796787304,0.7041852138571705,5167
tenant_screening,unawareness,logistic_regression,auc,0.7324537563765391,,,5167
tenant_screening,unawareness,logistic_regression,f1,0.7462025316455696,0.7350956062443,0.7585983257786857,5167
tenant_screening,unawareness,random_forest,accuracy,0.6946003483646216,0.6826930520611574,0.7076688600735436,5167
tenant_screening,unawareness,random_forest,auc,0.7402163995024296,,,5167
tenant_screening,unawareness,random_forest,f1,0.7479233226837061,0.7357613947418005,0.7606129878823014,5167
tenant_screening,unawareness,gradient_boosting,accuracy,0.6998258176891814,0.6875314495838979,0.713179794851945,5167
tenant_screening,unawareness,gradient_boosting,auc,0.7585661461288986,,,5167
tenant_screening,unawareness,gradient_boosting,f1,0.7555555555555556,0.743015939145299,0.767816431864962,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,accuracy,0.6388620089026514,0.6271482485000968,0.6518385910586414,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,auc,0.6731099341268718,,,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,f1,0.7118591723285979,0.6999464218502233,0.7248076773856658,5167
tenant_screening,unawareness_proxy_removal,random_forest,accuracy,0.6373137216953745,0.6235629959357462,0.649738726533772,5167
tenant_screening,unawareness_proxy_removal,random_forest,auc,0.6692893049699022,,,5167
